Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0074 rad, Error Angle: -0.0074 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0103 rad, Error Angle: -0.0103 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0147 rad, Error Angle: -0.0147 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0052 rad, Error Angle: -0.0052 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0103 rad, Error Angle: -0.0103 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0066 rad, Error Angle: -0.0066 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0077 rad, Error Angle: -0.0077 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0133 rad, Error Angle: -0.0133 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0103 rad, Error Angle: -0.0103 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0074 rad, Error Angle: -0.0074 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0085 rad, Error Angle: -0.0085 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0088 rad, Error Angle: -0.0088 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0140 rad, Error Angle: -0.0140 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0099 rad, Error Angle: -0.0099 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0103 rad, Error Angle: -0.0103 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0096 rad, Error Angle: -0.0096 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0118 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0114 rad, Error Angle: -0.0114 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.0096 rad, Error Angle: 0.7758 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.0567 rad, Error Angle: 0.7287 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.1179 rad, Error Angle: 0.6675 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.1904 rad, Error Angle: 0.5950 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.2534 rad, Error Angle: 0.5320 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.3230 rad, Error Angle: 0.4624 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.3852 rad, Error Angle: 0.4002 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.4497 rad, Error Angle: 0.3357 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.5149 rad, Error Angle: 0.2705 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.5827 rad, Error Angle: 0.2027 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.6475 rad, Error Angle: 0.1379 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.7134 rad, Error Angle: 0.0720 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7241 rad, Error Angle: 0.0613 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7270 rad, Error Angle: 0.0584 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7219 rad, Error Angle: 0.0635 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7241 rad, Error Angle: 0.0613 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7443 rad, Error Angle: 0.0411 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7248 rad, Error Angle: 0.0606 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7256 rad, Error Angle: 0.0598 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7226 rad, Error Angle: 0.0628 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7248 rad, Error Angle: 0.0606 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7237 rad, Error Angle: 0.0617 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7237 rad, Error Angle: 0.0617 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7256 rad, Error Angle: 0.0598 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7252 rad, Error Angle: 0.0602 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7226 rad, Error Angle: 0.0628 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7278 rad, Error Angle: 0.0576 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7256 rad, Error Angle: 0.0598 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7241 rad, Error Angle: 0.0613 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7256 rad, Error Angle: 0.0598 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7241 rad, Error Angle: 0.0613 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7226 rad, Error Angle: 0.0628 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7270 rad, Error Angle: 0.0584 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7252 rad, Error Angle: 0.0602 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7233 rad, Error Angle: 0.0621 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7256 rad, Error Angle: 0.0598 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7241 rad, Error Angle: 0.0613 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7263 rad, Error Angle: 0.0591 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7263 rad, Error Angle: 0.0591 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7241 rad, Error Angle: 0.0613 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7248 rad, Error Angle: 0.0606 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.6983 rad, Error Angle: 0.0871 rad, Motor Voltage: -0.50
Target Angle: 0.7854 rad, Motor Angle: 0.7767 rad, Error Angle: 0.0087 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7815 rad, Error Angle: 0.0039 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7808 rad, Error Angle: 0.0046 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7856 rad, Error Angle: -0.0002 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7786 rad, Error Angle: 0.0068 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7830 rad, Error Angle: 0.0024 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7860 rad, Error Angle: -0.0006 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7867 rad, Error Angle: -0.0013 rad, Motor Voltage: 0.00
Target Angle: 0.7854 rad, Motor Angle: 0.7845 rad, Error Angle: 0.0009 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.7841 rad, Error Angle: -0.1341 rad, Motor Voltage: 0.50
Target Angle: 0.6500 rad, Motor Angle: 0.7329 rad, Error Angle: -0.0829 rad, Motor Voltage: 0.50
Target Angle: 0.6500 rad, Motor Angle: 0.6725 rad, Error Angle: -0.0225 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6622 rad, Error Angle: -0.0122 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6615 rad, Error Angle: -0.0115 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6615 rad, Error Angle: -0.0115 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6585 rad, Error Angle: -0.0085 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6570 rad, Error Angle: -0.0070 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6615 rad, Error Angle: -0.0115 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6618 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6644 rad, Error Angle: -0.0144 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6604 rad, Error Angle: -0.0104 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6629 rad, Error Angle: -0.0129 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6607 rad, Error Angle: -0.0107 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6629 rad, Error Angle: -0.0129 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6618 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6563 rad, Error Angle: -0.0063 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6629 rad, Error Angle: -0.0129 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6629 rad, Error Angle: -0.0129 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6629 rad, Error Angle: -0.0129 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6615 rad, Error Angle: -0.0115 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6615 rad, Error Angle: -0.0115 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6622 rad, Error Angle: -0.0122 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6651 rad, Error Angle: -0.0151 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6629 rad, Error Angle: -0.0129 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6622 rad, Error Angle: -0.0122 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6593 rad, Error Angle: -0.0093 rad, Motor Voltage: 0.00
Target Angle: 0.6500 rad, Motor Angle: 0.6618 rad, Error Angle: -0.0118 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.6600 rad, Error Angle: -0.3600 rad, Motor Voltage: 0.50
Target Angle: 0.3000 rad, Motor Angle: 0.6099 rad, Error Angle: -0.3099 rad, Motor Voltage: 0.50
Target Angle: 0.3000 rad, Motor Angle: 0.5436 rad, Error Angle: -0.2436 rad, Motor Voltage: 0.50
Target Angle: 0.3000 rad, Motor Angle: 0.4733 rad, Error Angle: -0.1733 rad, Motor Voltage: 0.50
Target Angle: 0.3000 rad, Motor Angle: 0.4125 rad, Error Angle: -0.1125 rad, Motor Voltage: 0.50
Target Angle: 0.3000 rad, Motor Angle: 0.3455 rad, Error Angle: -0.0455 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3377 rad, Error Angle: -0.0377 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3359 rad, Error Angle: -0.0359 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3381 rad, Error Angle: -0.0381 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3326 rad, Error Angle: -0.0326 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3410 rad, Error Angle: -0.0410 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3352 rad, Error Angle: -0.0352 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3322 rad, Error Angle: -0.0322 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3337 rad, Error Angle: -0.0337 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3344 rad, Error Angle: -0.0344 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3337 rad, Error Angle: -0.0337 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3348 rad, Error Angle: -0.0348 rad, Motor Voltage: 0.00
Target Angle: 0.3000 rad, Motor Angle: 0.3322 rad, Error Angle: -0.0322 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.3624 rad, Error Angle: -0.3624 rad, Motor Voltage: 0.50
Target Angle: 0.0000 rad, Motor Angle: 0.2836 rad, Error Angle: -0.2836 rad, Motor Voltage: 0.50
Target Angle: 0.0000 rad, Motor Angle: 0.2173 rad, Error Angle: -0.2173 rad, Motor Voltage: 0.50
Target Angle: 0.0000 rad, Motor Angle: 0.1492 rad, Error Angle: -0.1492 rad, Motor Voltage: 0.50
Target Angle: 0.0000 rad, Motor Angle: 0.0784 rad, Error Angle: -0.0784 rad, Motor Voltage: 0.50
Target Angle: 0.0000 rad, Motor Angle: 0.0169 rad, Error Angle: -0.0169 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0041 rad, Error Angle: -0.0041 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0063 rad, Error Angle: -0.0063 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0063 rad, Error Angle: -0.0063 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0059 rad, Error Angle: -0.0059 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0052 rad, Error Angle: -0.0052 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0044 rad, Error Angle: -0.0044 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0048 rad, Error Angle: -0.0048 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0029 rad, Error Angle: -0.0029 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0077 rad, Error Angle: -0.0077 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0066 rad, Error Angle: -0.0066 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0044 rad, Error Angle: -0.0044 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0066 rad, Error Angle: -0.0066 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0066 rad, Error Angle: -0.0066 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0037 rad, Error Angle: -0.0037 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0074 rad, Error Angle: -0.0074 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0052 rad, Error Angle: -0.0052 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0048 rad, Error Angle: -0.0048 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0063 rad, Error Angle: -0.0063 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0081 rad, Error Angle: -0.0081 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0063 rad, Error Angle: -0.0063 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0074 rad, Error Angle: -0.0074 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0096 rad, Error Angle: -0.0096 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0052 rad, Error Angle: -0.0052 rad, Motor Voltage: 0.00
Target Angle: 0.0000 rad, Motor Angle: 0.0066 rad, Error Angle: -0.0066 rad, Motor Voltage: 0.00
